"ID","Species","decimalLatitude","decimalLongitude","uncertainty","Day","Month","Year","yDay","d2H"
"X2907","LABO",40.9,-91.05,NA,25,7,1901,206,-26.8404888666413
"X2909","LABO",40.9,-91.05,NA,25,7,1901,206,-25.7108759135952
"X2910","LABO",38.29,-76.64,NA,26,7,1968,208,-33.4199537203774
"X2911","LABO",40.29,-77.11,NA,26,7,1947,207,-29.6613530889548
"X2912","LABO",41.36,-85.67,NA,26,7,1962,207,-27.7308825971858
"X2913","LABO",40.1,-87.08,NA,27,7,1961,208,-35.0768811455268
"X2914","LABO",38.41,-82.6,NA,29,7,1910,210,-27.4193202740776
"X2915","LABO",38.97,-95.23,NA,30,7,1907,211,-31.598340761878
"X2916","LABO",42.97,-75.69,NA,31,7,1900,212,-57.2879325483246
"X2917","LABO",32.18,-86.58,NA,31,7,1915,212,-8.24753034577135
"X2918","LABO",30.69,-88.04,NA,1,8,1913,213,-2.80241911080404
"X2920","LABO",38.97,-95.23,NA,2,8,1907,214,-33.6789429097408
"X2921","LABO",41.16,-86.61,NA,2,8,1962,214,-27.5028817039907
"X2923","LABO",36.64,-80.27,NA,3,8,1939,215,-16.8242159385288
"X2924","LABO",32.18,-86.58,NA,3,8,1915,215,-0.972000230592005
